resolution_key,entry,form,pdf_page,style,previous_line_id,next_line_id,left_fragment,right_fragment,printed,joined_candidate,hyphenated_candidate,previous_line_text,next_line_text,llm_suggestion,llm_resolved_text,llm_confidence,approved_resolution,review_status,notes
p0021-l0067|p0021-l0068|berawas|awas,abai,abai,21,italic,p0021-l0067,p0021-l0068,berawas,awas,berawas- awas,berawasawas,berawas-awas,"abai 1 careless, negligent, neglectful. tidak – daripada berawas-","awas to be constantly on one’s guard. 2 disregarded, neglected.",preserve_hyphen,berawas-awas,high,preserve_hyphen,approved,User resolution: Indonesian reduplication. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0024-l0119|p0024-l0120|di|acc,acc,meng-acc(kan),24,italic,p0024-l0119,p0024-l0120,di,acc,di- acc,diacc,di-acc,"	 meng-acc(kan) to approve (of), agree to. Proyék besar harus di-",acc présidén. Big projects have to be approved by the president.,preserve_hyphen,di-acc,high,preserve_hyphen,approved,User resolution: affix attached to a foreign abbreviation. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0027-l0062|p0027-l0063|pu|losari,adas,adas,27,italic,p0027-l0062,p0027-l0063,pu,losari,pu- losari,pulosari,pu-losari,"Anethum graveolens. – pedas fennel, Phoeniculum vulgare. – pu-","losari (or, biji – manis) k.o. anise used in medicines. – sowa dill, ",remove_hyphen,pulosari,high,remove_hyphen,approved,User resolution: pulosari. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0033-l0099|p0033-l0100|vé|nérologi,ahli,ahli,33,italic,p0033-l0099,p0033-l0100,vé,nérologi,vé- nérologi,vénérologi,vé-nérologi,law. – utama senior specialist. – varuna hydrographer. – vé-,nérologi venereologist. – waris heirs (to an estate). pengahli-,remove_hyphen,vénérologi,high,remove_hyphen,approved,User resolution: vénérologi. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0033-l0100|p0033-l0101|pengahli|warisan,ahli,ahli,33,bold_italic,p0033-l0100,p0033-l0101,pengahli,warisan,pengahli- warisan,pengahliwarisan,pengahli-warisan,nérologi venereologist. – waris heirs (to an estate). pengahli-,warisan appointment of an heir.,preserve_hyphen,pengahli-warisan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0034-l0125|p0034-l0126|tero|lah,air,air,34,italic,p0034-l0125,p0034-l0126,tero,lah,tero- lah,terolah,tero-lah,tawar magic potion; → TEPUNG tawar. – terjun waterfall. – tero-,lah treated water. – tersedia available water. – tersekap (geol) ,remove_hyphen,terolah,high,remove_hyphen,approved,User resolution: terolah. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0035-l0125|p0035-l0126|ter|pelajaran,ajar,pelajar,35,bold_italic,p0035-l0125,p0035-l0126,ter,pelajaran,ter- pelajaran,terpelajaran,ter-pelajaran,"learned person. tidak ~ uneducated, ignorant. ketidak-ter-",pelajaran ignorance. keterpelajaran intellectualism.,remove_hyphen,terpelajaran,high,remove_hyphen,approved,User resolution: terpelajaran. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0037-l0015|p0037-l0016|frame|up,akal,akal,37,roman,p0037-l0015,p0037-l0016,frame,up,frame- up,frameup,frame-up,"deception. – melintas a sudden idea, brainwave. – palsu frame-",up. – panjang crafty. – péndék narrow-minded. – pikiran rea,preserve_hyphen,frame-up,high,preserve_hyphen,approved,Accepted audit recommendation: English noun frame-up. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0039-l0104|p0039-l0105|bakar|bakar,aksi,aksi,39,italic,p0039-l0104,p0039-l0105,bakar,bakar,bakar- bakar,bakarbakar,bakar-bakar,pose. –nya saja! show-off! – ambaléla passive resistance. – bakar-,bakar arson. – bubar closing down (a newspaper). – dorong shov,preserve_hyphen,bakar-bakar,high,preserve_hyphen,approved,LLM draft: repeated/overlapping Indonesian form. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0041-l0022|p0041-l0023|kekurang|akuratan,akurat,akurat,41,bold_italic,p0041-l0022,p0041-l0023,kekurang,akuratan,kekurang- akuratan,kekurangakuratan,kekurang-akuratan,akurat (D/E) accurate. kurang – less than accurate. kekurang-,akuratan inaccuracy. tidak – inaccurate. ketidak-akuratan ,preserve_hyphen,kekurang-akuratan,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0042-l0121|p0042-l0122|mi|grans,alap-alap,alap-alap,42,italic,p0042-l0121,p0042-l0122,mi,grans,mi- grans,migrans,mi-grans,"oriental hobby, Falco severus. – malam black kite, Milvus mi-","grans. – menara Moluccan/spotted kestrel, Falco moluccensis. – ",remove_hyphen,migrans,low,remove_hyphen,approved,LLM draft: same-style italic/small-cap text at a column wrap is more likely a split word or name; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
p0043-l0095|p0043-l0096|pem|bolong,alat,alat,43,italic,p0043-l0095,p0043-l0096,pem,bolong,pem- bolong,pembolong,pem-bolong,sah legal tender. – pembersih pita vidéo videotape cleaner. – pem-,bolong karcis ticket punch. – pembungkus packing material. – ,preserve_hyphen,pem-bolong,medium,preserve_hyphen,approved,"LLM draft: both sides are independently attested elsewhere in the PDF corpus, favoring a lexical hyphen. Initial draft accepted by the user; edit this row and rebuild if correction is needed."
p0045-l0032|p0045-l0033|mengalih|kapalkan,alih,alih,45,bold_italic,p0045-l0032,p0045-l0033,mengalih,kapalkan,mengalih- kapalkan,mengalihkapalkan,mengalih-kapalkan,– janin embryo transfer. – kapal transshipment. mengalih-,kapalkan to transship. pengalih-kapalan transshipment. – ,preserve_hyphen,mengalih-kapalkan,low,preserve_hyphen,approved,LLM draft: bold headword morphology may intentionally retain a hard hyphen; review this row. Initial draft accepted by the user; edit this row and rebuild if correction is needed.
